序号,题型,题库分类（大类）,题目分类（小类）,题干,选项A,选项B,选项C,选项D,答案,解释
86,单选题,国职游泳救生员初级,技能知识,蛙式长划臂潜远划臂时，手掌和前臂()，稍勾手腕，两手()做抓水动作。,内旋、向前下方,内旋、向前上方,外旋、向前下方,外旋、向前上方,A,p17:臂部动作:两臂向前伸直，开始划臂时手掌和前臂内旋，稍勾手腕，两手向前下方做抓水动作，臂划水开始稍慢。
87,单选题,国职游泳救生员初级,技能知识,蛙式长划臂潜泳腿的动作和蛙泳腿动作的区别是()，蹬水向正后方，以免身体上浮。,收腿时髋关节屈得较大，双腿分开较小,收腿时髋关节屈得较小，双腿分开也较小,收腿时髋关节屈得较大，双腿分开也较大,收腿时髋关节屈得较小，双腿分开较大,B,p17；收腿时髋关节屈得较小，双腿分开也较小
88,单选题,国职游泳救生员初级,技能知识,蛙式长划臂潜泳腿的动作与蛙泳腿动作的区别是收腿时髋关节屈得()，双膝分开()。,"较大,较小","较小,较大","较小,较小","较大,较大",C,p17；收腿时髋关节屈得较小，双腿分开也较小，蹬水向正后方，以免上浮。
89,单选题,国职游泳救生员初级,技能知识,爬式潜泳只用双腿做()打水动作向前游进。,侧泳,蛙泳,爬泳,蝶泳,C,p18
90,单选题,国职游泳救生员初级,技能知识,()技术特点是速度快、准确捕捉目标。,蛙泳,抬头爬泳,侧泳,仰泳,B,p18
91,单选题,国职游泳救生员初级,技能知识,抬头爬泳技术，()水面情况。,动作速度快便于判断,动作机动性强便于了解,动作速度快便于观察,动作机动性强便于观察,C,p18；优点:速度快，观察方便
92,单选题,国职游泳救生员初级,技能知识,抬头爬泳动作，身体俯卧水中，头部露出水面，两眼()。,左右环视,注视前方,注意水中情况,注视前方目标,D,p18；注视前方目标，即时刻看着溺水者
93,单选题,国职游泳救生员初级,技能知识,抬头爬泳的腿部技术是以大腿带动小腿做鞭状()打水动作，打水幅度为30-40cm，脚()。,左右交替，要露出水面,上下交替，要露出水面,左右交替，不要出水面,上下交替，不要出水面,D,p18
94,单选题,国职游泳救生员初级,技能知识,抬头爬泳腿部动作主要是起到()，保持身体流线型。,维持身体平衡作用,保持身体水平,推进身体,控制方向,A,p18
95,单选题,国职游泳救生员初级,技能知识,游泳抬头爬泳时由于头部要露出水面，()。,手臂入水点要靠外些，划水路线也就短一些,手臂入水点要远些，划水路线也就长一些,手臂入水点要近些，划水路线也就短一些,手臂入水点要远些，划水路线也就短一些,C,p18
96,单选题,国职游泳救生员初级,技能知识,两臂配合技术由于两臂所处位置不同，故有()配合之分。,前交叉和中交叉,中交叉和后交叉,前交叉和后交叉,前交叉、中交叉和后交叉,D,p19
97,单选题,国职游泳救生员初级,技能知识,抬头爬泳一般常采用( )配合技术游进。,后交叉,前交叉,中交叉,中交叉和前交叉,B,p19
98,单选题,国职游泳救生员初级,基础常识,观察是指救生员值岗时，不间断地扫视、环视自己所负责的区域，防止造成溺水事故发生的一种专门的()。,救生技术,赴救技术,游泳技术,救生手段,A,p22
99,单选题,国职游泳救生员初级,基础常识,关于游泳救生观察的定义，以下说法正确的是()。,观察是救生工作中次重要的一个环节，是救生工作中“以救为主”的具体体现,观察是救生工作中最重要的一个环节，是救生工作中“以救为主”的具体体现,观察是救生工作中最重要的一个环节，是救生工作中”以防为主”的具体体现,观察是救生工作中次重要的一个环节，是救生工作中“以防为主”的具体体现,C,p22；观察是救生工作中最重要的一个环节，是救生工作中“以防为主”的具体体现。
100,单选题,国职游泳救生员初级,基础常识,关于游泳救生观察方法的类别，以下说法正确的是()。,游泳救生观察的方法包括扫视法、环视法和跟踪法三种,游泳救生观察的方法包括点视法、环视法和跟踪法三种,游泳救生观察的方法包括扫视法和跟踪法两种,游泳救生观察的方法包括扫视法和环视法两种,A,p22；观察的方法:扫视法、环视法和跟踪法
101,单选题,国职游泳救生员初级,基础常识,()是在值岗时，救生员对自己责任区的左右、远近进行直线、不间断的观察。,环视法,扫视法,跟踪法,眺望法,B,p22；记忆:扫视法:左右，远近
102,单选题,国职游泳救生员初级,基础常识,扫视法是在值岗时，救生员对自己责任区的()进行直线、不间断的观察。,前后、远近,左右、远近,前后、左右,左右、前后,B,p22；记忆:扫视法:左右，远近
103,单选题,国职游泳救生员初级,基础常识,()是指在值岗时，游泳救生员对自己的责任区以某一点为起点，进行圆周、不间断的观察。,环视法,点视法,跟踪法,扫视法,A,p22；记忆:环视法:起点、圆周
104,单选题,国职游泳救生员初级,基础常识,跟踪法是救生员在值岗时，对()内游泳技术不佳者应进行重点跟踪观察的一种方法。,游泳场所,自己负责区,深水区,浅水区,B,p22自己负责区
105,单选题,国职游泳救生员初级,基础常识,关于游泳救生观察方法中的环视法，以下说法正确的是(),游泳救生员在值岗时，游泳救生员对自己责任区的左、右、远、近进行波浪线、不间断的观察,游泳救生员在值岗时，游泳救生员对自己责任区的左、右、远、近进行曲线、不间断的观察,游泳救生员在值岗时，游泳救生员对自己责任区的左、右、远、近进行直线、间歇的观察,游泳救生员值岗时，游泳救生员对自己的责任区以某一点为起点，进行圆周、不间断的观察,D,p22；环视法:起点、圆周
106,单选题,国职游泳救生员初级,基础常识,观察是指救生员在自己责任岗位时，采用()来管理自己的责任区域。,跟踪法,扫视法,环视法,扫视法、环视法、跟踪法三种方法,D,p22；3种方法:扫视、环视、跟踪
107,单选题,国职游泳救生员初级,基础常识,游泳救生观察的方法包括()。,点视法、环视法和跟踪法,扫视法、环视法和点视法,扫视法、环视法和跟踪法,扫视法、区视法和跟踪法,C,p22；3种方法:扫视、环视、跟踪
108,单选题,国职游泳救生员初级,基础常识,关于游泳救生员观察的要求，以下说法正确的是(),游泳救生员在进场时段，应偏重于观察有无技术不佳的游泳者进入深水区,游泳救生员在观察时对老年人、少年儿童、孕妇、残障人士醉酒者等特殊人群应重点关注,游泳救生员在观察时应只观察自己的责任区,游泳救生员在进场时段，应偏重于观察那些还未及时起水的游泳者,B,p22；选择A进场时段，偏重入口和下水池边选择B正确；选
109,单选题,国职游泳救生员初级,基础常识,关于游泳救生员观察的要求，以下说法正确的是()。,游泳救生员在观察时应只观察深水区,游泳救生员在观察时应明确自己的责任区人少时可以放松注意力,游泳救生员在观察时应做到重点突出(主责区)和兼顾其他(次责区)，交叉观察，相互补漏,游泳救生员在观察时应只观察水中的人员,C,主次兼顾
110,单选题,国职游泳救生员初级,基础常识,观察的具体要求有()条。,6,5,4,3,A,p22；观察的要求6条:1明确观察责任区;2主次兼顾;3不同观察区域互相结合;4不同时段的观察;5对不同人群的观察;6交接班时的观察
111,单选题,国职游泳救生员初级,基础常识,救生员在观察时应有所侧重，下列人群中()最应引起救生员注意观察。,在教练保护下的初学者,在父母陪同下的孩子,在成人陪同下的老年人,游泳技术差的人,D,p22；游泳技术差的人
112,单选题,国职游泳救生员初级,基础常识,下列哪一类人群不是救生员的重点观察对象(),老人,妇女,儿童,在泳池旁休息者,D,p22；对不同人群的观察
113,单选题,国职游泳救生员初级,基础常识,游泳救生员值岗期间，()，这样才能及时发现溺水事故的隐患。,应观察整个泳池，注意力要保持高度集中,应明确自己的责任区，注意力要保持高度集次,应观察整个泳池，注意力可以在人少时放松,应明确自己的责任区，注意力可以在人少时放松,B,p22；明确观察责任区
114,单选题,国职游泳救生员初级,基础常识,中小学专场时，救生员配备()。,按游泳人数配备,增加中、浅水区域的观察岗位,加强巡视,正常配备,B,p22；不同时段的观察
115,单选题,国职游泳救生员初级,基础常识,救生员在交接班时()，交班人员方可下岗。,到下班时间,接班救生员到岗,经救生组长同意,交接双方确认无事故隐患,D,p23；交接2个步骤:1听取交班班情况介绍，2双方确认没有事故隐患
116,单选题,国职游泳救生员初级,基础常识,游泳教生员在交接班时，接班游泳救生员()，并听取交班游泳救生员的情况介绍。,眼睛应注意其他救生员,眼睛应不间断地扫视自己的责任区域,应快速离岗,眼睛应注意交班救生员,B,p23；接班时，眼睛应不间断地扫视自己的责任区域
117,单选题,国职游泳救生员初级,基础常识,受伤溺水者在溺水时手脚动作方面表现为()。,受伤肢体失去活动能力,无活动能力,手臂有活动能力，腿部无活动能力,腿部有活动能力，手臂无活动能力,A,p23；受伤肢体失去活动能力
118,单选题,国职游泳救生员初级,基础常识,关于游泳救生员观察的要求，以下说法正确的是(),疲劳溺水者会失去活动能力,疲劳溺水者会完全没有呼吸，手脚没有动作,疲劳溺水者会面部表情呆滞，并且没有移动能力,疲劳溺水者会间歇性的呼吸，面部表情焦虑,D,p23；呼吸是间歇呼吸、面部表情焦虑
119,单选题,国职游泳救生员初级,基础常识,昏迷溺水者在面部表情方面表现为()。,呆滞,焦虑,痛苦,恐慌,A,p23:昏迷溺水者面部表情是呆滞
120,单选题,国职游泳救生员初级,基础常识,溺水者在水中两臂横伸、上下拍水、身体垂直，面部表情恐慌，根据其表现，判断该溺水者属于( )。,疲劳溺水者,不会游泳溺水者,受伤溺水者,昏迷溺水者,B,不会游泳溺水者
121,单选题,国职游泳救生员初级,基础常识,疲劳溺水者在溺水时身体姿态方面表现为()。,身体垂直,俯卧在水面(或水中、池底),仰卧在水面(或水中、池底),身体接近水平姿势,D,p23；疲劳溺水者身体姿势:接近水平姿势
122,单选题,国职游泳救生员初级,基础常识,游泳者因疲劳溺水时呼吸方式通常表现为(),没有呼吸,争取呼吸,正常呼吸,间歇呼吸,D,p23；疲劳溺水者:间歇呼吸
123,单选题,国职游泳救生员初级,基础常识,不会游泳者在溺水初期呼吸方式表现为()。,正常呼吸,争取呼吸,间歇呼吸,没有呼吸,B,p23；不会游泳溺水者:争取呼吸
124,单选题,国职游泳救生员初级,基础常识,()的表现为没有呼吸，没有动作。,疲劳溺水者,昏迷溺水者,不会游泳溺水者,受伤溺水者,B,p23；昏迷溺水者，没有呼吸，没有动作
125,单选题,国职游泳救生员初级,基础常识,最危险的是()的溺水者，如未能及时救助便会导致悲剧的发生。,大声呼叫,无挣扎呼叫无声甚至完全没有求救或呼叫行为,拼命挣扎,挥手呼,B,p23；最危险的是无挣扎、呼救无声甚至完全没有求救或呼叫行为的溺水者，如未能及时救助便会导致悲剧的发生。
126,单选题,国职游泳救生员初级,基础常识,对丧失意识溺水者可通过()，了解受伤的情况。,救生员远处观察,救生员询问,溺水者本人自述,检查溺水者肢体,D,p24:对丧失意识溺水者，判断是否受伤，检查肢体
127,单选题,国职游泳救生员初级,基础常识,关于不会游泳的溺水者，以下说法正确的是(),淹没在水中的时间可能越来越短,身体在水中维持水平,淹没在水中的时间可能越来越长,不关注维持呼吸,C,p24；不会游泳溺水者在水中状态:①可能不会用四肢寻找支撑;②身体在水中保持垂直，不能确定陆地和寻求帮助的方向;③只关注维持呼吸;④淹没在水中的时间可能越来越长;选者C
128,单选题,国职游泳救生员初级,基础常识,不会游泳的溺水者在发生溺水时常见的表现为(),会用四肢寻找支撑,不关注维持呼吸,可能不会用四肢寻找支撑,身体在水中维持水平,C,p24；不会游泳溺水者在水中状态:①可能不会用四肢寻找支撑;②身体在水中保持垂直，不能确定陆地和寻求帮助的方向;③只关注维持呼吸;④淹没在水中的时间可能越来越长，
129,单选题,国职游泳救生员初级,基础常识,游泳技能较差的溺水者在水中的表现为()。,身体在水中维持水平,能用手臂和腿寻找支撑,头部不会被淹没,不能用手臂和腿寻找支撑,B,游泳差在水中表现:①能用手臂和腿寻求p24；支撑;②身体倾斜于水面，头通常会朝向岸边;③头部间歇地被淹没;④有时能够吐出进入嘴里的水;A选项身体不能在水中维持水平:C选项头部会间歇被淹没;D选项不能用手臂寻找支撑，可能是受伤或不会游泳溺水者。正确答案选B
130,单选题,国职游泳救生员初级,基础常识,如溺水者在水中不能自主地支配肢动作，并缓慢下沉或已沉入池底，则()。,溺亡,游泳者屏气练习,潜泳练习,丧失意识,D,p24
131,单选题,国职游泳救生员初级,急救知识,检查溺水者有无自主呼吸应采取()的方法。,一听、二看、三触摸,一听、二看、三感觉,一摸、二看、三听,一摸、二看、三感觉,B,在判断溺水者是否具有自主呼吸时，可以通过一听：听其是否有正常的呼吸声音，二
